Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"ウヲアイニ","Shunji Iwai","H & A","ca's write n daydream companion","Playlist","JPJ901501760","0BE4glblBoHRM15bRgb5yy"
"fish in the pool","Shunji Iwai","H & A","ca's write n daydream companion","Playlist","JPJ901501710","4SJDHLe7BxOzJDtdzAju7T"
"ウヲアイニ・アラベスク","Shunji Iwai","H & A","ca's write n daydream companion","Playlist","JPJ901501810","2ZRXrVsewMlW0t7WVtykhf"
"花とアリス","Shunji Iwai","H & A","ca's write n daydream companion","Playlist","JPJ901501820","1CXzGwMxhbkXk2aZ3BwVHg"
"dancin' in the rain","Shunji Iwai","H & A","ca's write n daydream companion","Playlist","JPJ901501780","3ky1PozgFmS0ajCyMyuNHh"
"花の季節","Shunji Iwai","H & A","ca's write n daydream companion","Playlist","JPJ901501690","25sTXyAvn1U2AM8HLDfqPx"
"花の季節・うみ","Shunji Iwai","H & A","ca's write n daydream companion","Playlist","JPJ901501790","6yNOOcPTmWvCEDyqbSVPKs"
"Engagement Party","Justin Hurwitz","La La Land (Original Motion Picture Soundtrack)","ca's write n daydream companion","Playlist","USUG11600657","2bonbKENtFAQQh8U4UEAu5"
"City Of Stars (Humming)","Justin Hurwitz","La La Land (Original Motion Picture Soundtrack)","ca's write n daydream companion","Playlist","USUG11600655","3gbwtdRrtD05lz08DTxfFt"
"Frozen Summer (From Love Letter[Original Soundtrack]) - Live","Festival Orchestra","Love Letter (Original Soundtrack) [Live]","ca's write n daydream companion","Playlist","KRG142000186","43mneGVsLP9ZRi0tigyEr2"
"Small Happiness (From Love Letter[Original Soundtrack]) - Live","Festival Orchestra","Love Letter (Original Soundtrack) [Live]","ca's write n daydream companion","Playlist","KRG142000192","4JZ4iHZ2rLLE8xzJcnXueP"
"Yakusoku","Gontiti","Movie ""Dare mo Shiranai"" Soundtrack","ca's write n daydream companion","Playlist","JPPC00400977","3boM9ej3DWuwfQOBgg3On2"
"Gold Coast Rhythm - Jack's Party","Justin Hurwitz","Babylon (Music from the Motion Picture)","ca's write n daydream companion","Playlist","USKLP2200920","11pCiK6CoUkOaER3WWCsze"
"Yumeji's Theme - 電影'花樣年華/ Instrumental","Shigueru Umebayashi","花樣年華 (電影原聲大碟)","ca's write n daydream companion","Playlist","HKUM71600107","5jHcOti91CqYaPHDHC5EWV"
"Childhood Days (From Love Letter[Original Soundtrack]) - Live","Festival Orchestra","Love Letter (Original Soundtrack) [Live]","ca's write n daydream companion","Playlist","KRG142000182","6uFZF30AvzJKUHKhOwrMPi"
"Manny and Nellie's Theme","Justin Hurwitz","Babylon (Music from the Motion Picture)","ca's write n daydream companion","Playlist","USKLP2200882","3pH7j7BvXlyZw52K2JqPDZ"
"Mia Gets Home","Justin Hurwitz","La La Land (Original Motion Picture Score)","ca's write n daydream companion","Playlist","USUG11601193","2wZEOppmBNZLRz3aMIzeUd"
"Mia & Sebastian’s Theme (Late For The Date)","Justin Hurwitz","La La Land (Original Motion Picture Score)","ca's write n daydream companion","Playlist","USUG11601202","4ZXfOf3algtK5VfCzcyvSi"
"It’s Over / Engagement Party","Justin Hurwitz","La La Land (Original Motion Picture Score)","ca's write n daydream companion","Playlist","USUG11601211","3EdoVT18WTQNKkdfIn9nkl"
"Mia & Sebastian’s Theme (Celesta)","Justin Hurwitz","La La Land (Original Motion Picture Score)","ca's write n daydream companion","Playlist","USUG11601216","0GO6zmB9vtMNUcQH5nZBmc"
"Mia Hates Jazz","Justin Hurwitz","La La Land (Original Motion Picture Score)","ca's write n daydream companion","Playlist","USUG11601199","4YHXPPqwae2pYmHFpplysi"
"House of Woodcock","Jonny Greenwood","Phantom Thread (Original Motion Picture Soundtrack)","ca's write n daydream companion","Playlist","USNO11700822","6FZDedaCzYhO4sdG3VYcHZ"
"Mia & Sebastian’s Theme","Justin Hurwitz","La La Land (Original Motion Picture Soundtrack)","ca's write n daydream companion","Playlist","USUG11600660","1Vk4yRsz0iBzDiZEoFMQyv"
